Ticker,Pct Change,MarketCap,Weight,Weighted Change,GICS Sector
MCHP,0.09170977,52738314240,0.001085968,9.95938E-05,Information Technology
MCK,0.483836179,72887050240,0.001500863,0.000726172,Health Care
MCO,0.87956788,74979254272,0.001543945,0.001358004,Financials
MDLZ,-0.798831423,91614896128,0.0018865,-0.001506995,Consumer Staples
MDT,1.1182154,1.0791E+11,0.002222046,0.002484726,Health Care
MET,1.242148459,51584864256,0.001062216,0.00131943,Financials
META,2.670789316,1.21302E+12,0.02497804,0.066711083,Communication Services
MGM,2.029285665,12459369472,0.000256559,0.000520631,Consumer Discretionary
MHK,0.578782098,7435580928,0.000153111,8.86177E-05,Consumer Discretionary
MKC,0.083156698,19405426688,0.000399589,3.32285E-05,Consumer Staples
MKTX,1.118930409,8219458560,0.000169252,0.000189381,Financials
MLM,0.993957897,35699535872,0.000735111,0.00073067,Materials
MMC,-0.048082168,1.02432E+11,0.002109249,-0.000101417,Financials
MMM,0.16078387,55153491968,0.0011357,0.000182602,Industrials
MNST,0.113984373,55241723904,0.001137517,0.000129659,Consumer Staples
MO,-0.32865406,78134992896,0.001608927,-0.00052878,Consumer Staples
MOH,-2.601171589,19457437696,0.00040066,-0.001042186,Health Care
MOS,-0.193303388,9956754432,0.000205026,-3.96322E-05,Materials
MPC,0.70231395,62644273152,0.001289947,0.000905948,Energy
MPWR,0.936506397,36668510208,0.000755064,0.000707122,Information Technology
MRK,-1.22052856,3.27974E+11,0.006753509,-0.008242851,Health Care
MRNA,1.585272965,63851618304,0.001314809,0.002084331,Health Care
MRO,-0.814904882,14416758784,0.000296865,-0.000241916,Energy
MS,0.050548982,1.60842E+11,0.003312,0.000167418,Financials
MSCI,0.530180697,39057530880,0.000804258,0.000426402,Financials
MSFT,0.740047696,3.19708E+12,0.065833122,0.04871965,Information Technology
MSI,0.344020911,60810543104,0.001252188,0.000430779,Information Technology
MTB,0.769185471,25138225152,0.000517637,0.000398159,Financials
MTCH,-0.271370166,7810638848,0.000160834,-4.36455E-05,Communication Services
MTD,0.015546573,31598915584,0.000650673,1.01157E-05,Health Care
MU,2.550098151,1.43393E+11,0.002952702,0.00752968,Information Technology
NCLH,2.761723273,6864655872,0.000141354,0.000390382,Consumer Discretionary
NDAQ,1.154094732,35877646336,0.000738779,0.000852621,Financials
NDSN,0.01681738,13626537984,0.000280593,4.71883E-06,Industrials
NEE,1.712693734,1.57398E+11,0.003241071,0.005550963,Utilities
NEM,1.819063809,48408813568,0.000996816,0.001813272,Materials
NFLX,1.743045509,2.78685E+11,0.005738582,0.010002609,Communication Services
NI,-0.142446611,12570472448,0.000258846,-3.68718E-05,Utilities
NKE,0.38293049,1.38484E+11,0.002851606,0.001091967,Consumer Discretionary
NOC,-0.166948223,69096939520,0.001422818,-0.000237537,Industrials
NOW,-2.590518237,1.51677E+11,0.003123269,-0.008090886,Information Technology
NRG,6.055005406,17928935424,0.000369186,0.002235423,Utilities
NSC,0.247458043,51250851840,0.001055338,0.000261152,Industrials
NTAP,1.429320625,23871627264,0.000491556,0.000702591,Information Technology
NTRS,0.543081034,17044558848,0.000350975,0.000190608,Financials
NUE,-0.151573782,41064038400,0.000845575,-0.000128167,Materials
NVDA,2.572274436,2.61896E+12,0.053928566,0.138719072,Information Technology
NVR,0.327099961,23230658560,0.000478357,0.000156471,Consumer Discretionary
NWS,3.109778595,15379662848,0.000316692,0.000984843,Communication Services
NWSA,3.323031832,15379644416,0.000316692,0.001052377,Communication Services
NXPI,1.631714648,70867935232,0.001459286,0.002381138,Information Technology
O,-0.248520483,45436989440,0.000935621,-0.000232521,Real Estate
ODFL,0.868444466,37603340288,0.000774314,0.000672449,Industrials
OKE,0.823040295,47187857408,0.000971675,0.000799727,Energy
OMC,0.94459709,18625771520,0.000383535,0.000362286,Communication Services
ON,1.270057241,31217633280,0.000642822,0.000816421,Information Technology
ORCL,-0.950916843,3.37819E+11,0.00695625,-0.006614815,Information Technology
ORLY,1.136424617,58126123008,0.001196911,0.0013602,Consumer Discretionary
OTIS,0.453003659,39449796608,0.000812335,0.000367991,Industrials
OXY,-0.016136736,54927163392,0.00113104,-1.82513E-05,Energy
PANW,3.262266755,1.04134E+11,0.00214429,0.006995246,Information Technology
PARA,1.441900567,8332519936,0.00017158,0.000247401,Communication Services
PAYC,-2.155474497,9918214144,0.000204232,-0.000440217,Industrials
PAYX,-1.137991615,44718206976,0.000920821,-0.001047886,Industrials
PCAR,0.514372687,57357185024,0.001181078,0.000607514,Industrials
PCG,0.435255318,48271052800,0.000993979,0.000432635,Utilities
PEG,2.025829778,37375922176,0.000769631,0.001559141,Utilities
PEP,-0.714006107,2.44699E+11,0.005038748,-0.003597697,Consumer Staples
PFE,0.662246857,1.63651E+11,0.003369843,0.002231668,Health Care
PFG,0.982563338,19271053312,0.000396822,0.000389903,Financials
PG,-0.096684789,3.90202E+11,0.008034893,-0.000776852,Consumer Staples
PGR,0.359292752,1.19428E+11,0.002459209,0.000883576,Financials
PH,0.61910282,68104880128,0.00140239,0.000868224,Industrials
PHM,1.38371937,24042090496,0.000495066,0.000685032,Consumer Discretionary
PKG,1.958499041,16502178816,0.000339807,0.000665511,Materials
PLD,-0.842483335,96982155264,0.00199702,-0.001682456,Real Estate
PM,0.280982213,1.55347E+11,0.003198851,0.00089882,Consumer Staples
PNC,0.97531596,61381132288,0.001263937,0.001232738,Financials
PNR,0.266571215,13738567680,0.000282899,7.54128E-05,Industrials
PNW,0.444555862,8723602432,0.000179633,7.9857E-05,Utilities
